DATE,GFDEBTN
1966-01-01,320999
1966-04-01,316097
1966-07-01,324748
1966-10-01,329319
1967-01-01,330947
1967-04-01,322893
1967-07-01,335896
1967-10-01,344663
1968-01-01,349473
1968-04-01,345369
1968-07-01,354743
1968-10-01,358029
1969-01-01,359546
1969-04-01,352895
1969-07-01,360685
1969-10-01,368226
1970-01-01,372007
1970-04-01,370094
1970-07-01,378678
1970-10-01,389158
1971-01-01,391668
1971-04-01,397305
1971-07-01,412268
1971-10-01,424131
1972-01-01,427344
1972-04-01,426435
1972-07-01,433946
1972-10-01,448473
1973-01-01,458606
1973-04-01,457317
1973-07-01,460614
1973-10-01,469073
1974-01-01,473675
1974-04-01,474235
1974-07-01,481466
1974-10-01,492664
1975-01-01,509659
1975-04-01,533188
1975-07-01,553647
1975-10-01,576649
1976-01-01,600490
1976-04-01,620432
1976-07-01,634701
1976-10-01,653543
1977-01-01,669207
1977-04-01,674425
1977-07-01,698840
1977-10-01,718943
1978-01-01,737951
1978-04-01,749024
1978-07-01,771544
1978-10-01,789207
1979-01-01,796792
1979-04-01,804913
1979-07-01,826519
1979-10-01,845116
1980-01-01,863451
1980-04-01,877614
1980-07-01,907701
1980-10-01,930210
1981-01-01,964531
1981-04-01,971174
1981-07-01,997855
1981-10-01,1028729
1982-01-01,1061299
1982-04-01,1079630
1982-07-01,1142035
1982-10-01,1197074
1983-01-01,1244493
1983-04-01,1319581
1983-07-01,1377211
1983-10-01,1410702
1984-01-01,1463741
1984-04-01,1512697
1984-07-01,1572267
1984-10-01,1662966
1985-01-01,1710731
1985-04-01,1774640
1985-07-01,1823103
1985-10-01,1945942
1986-01-01,1986816
1986-04-01,2059349
1986-07-01,2125304
1986-10-01,2214835
1987-01-01,2246724
1987-04-01,2309296
1987-07-01,2350277
1987-10-01,2431715
1988-01-01,2487551
1988-04-01,2547656
1988-07-01,2602183
1988-10-01,2684392
1989-01-01,2740898
1989-04-01,2799923
1989-07-01,2857431
1989-10-01,2952994
1990-01-01,3051958
1990-04-01,3143754
1990-07-01,3233313
1990-10-01,3364820
1991-01-01,3465189
1991-04-01,3537988
1991-07-01,3665303
1991-10-01,3801698
1992-01-01,3881288
1992-04-01,3984656
1992-07-01,4064621
1992-10-01,4177009
1993-01-01,4230580
1993-04-01,4351950
1993-07-01,4411489
1993-10-01,4535687
1994-01-01,4575869
1994-04-01,4645802
1994-07-01,4692750
1994-10-01,4800150
1995-01-01,4864116
1995-04-01,4951372
1995-07-01,4973983
1995-10-01,4988665
1996-01-01,5117786
1996-04-01,5161076
1996-07-01,5224811
1996-10-01,5323172
1997-01-01,5380890
1997-04-01,5376151
1997-07-01,5413146
1997-10-01,5502388
1998-01-01,5542426
1998-04-01,5547935
1998-07-01,5526193
1998-10-01,5614217
1999-01-01,5651615
1999-04-01,5638780
1999-07-01,5656271
1999-10-01,5776091
2000-01-01,5773392
2000-04-01,5685938
2000-07-01,5674179
2000-10-01,5662216
2001-01-01,5773740
2001-04-01,5726815
2001-07-01,5807464
2001-10-01,5943439
2002-01-01,6006032
2002-04-01,6126469
2002-07-01,6228236
2002-10-01,6405707
2003-01-01,6460776
2003-04-01,6670121
2003-07-01,6783320
2003-10-01,6997964
2004-01-01,7131068
2004-04-01,7274335
2004-07-01,7379053
2004-10-01,7596143
2005-01-01,7776939
2005-04-01,7836496
2005-07-01,7932710
2005-10-01,8170413
2006-01-01,8371156
2006-04-01,8420042
2006-07-01,8506974
2006-10-01,8680224
2007-01-01,8849665
2007-04-01,8867677
2007-07-01,9007653
2007-10-01,9229172
2008-01-01,9437594
2008-04-01,9492006
2008-07-01,10024725
2008-10-01,10699805
2009-01-01,11126941
2009-04-01,11545275
2009-07-01,11909828
2009-10-01,12311349
2010-01-01,12773123
2010-04-01,13201792
2010-07-01,13561622
2010-10-01,14025215
2011-01-01,14270114
2011-04-01,14343087
2011-07-01,14790340
2011-10-01,15222940
2012-01-01,15606518
2012-04-01,15855037
2012-07-01,16066240
2012-10-01,16432730
2013-01-01,16771381
2013-04-01,16738320
2013-07-01,16738180
2013-10-01,17156119
2014-01-01,17601227
2014-04-01,17632606
2014-07-01,17824071
2014-10-01,18141444
2015-01-01,18152056
2015-04-01,18151998
2015-07-01,18150618
2015-10-01,18922179
2016-01-01,19264939
2016-04-01,19381591
2016-07-01,19573445
2016-10-01,19976827
2017-01-01,19846420
2017-04-01,19844554
2017-07-01,20244900
2017-10-01,20492747
2018-01-01,21089643
2018-04-01,21195070.0
2018-07-01,21516058.0
2018-10-01,21974096.0
2019-01-01,22027880.0
2019-04-01,22023283.0
2019-07-01,22719402.0
2019-10-01,23201380.0
2020-01-01,23223813.0
2020-04-01,26477241.0
